"volatile.acidity","citric.acid","alcohol","pH","sulphates","quality","nivell.qualitat"
0.59,0.59,11,3.18,0.65,6,"Normal"
0.765,0.22,9.4,3.1,0.55,5,"Normal"
0.735,0.02,9.9,3.47,0.53,5,"Normal"
0.26,0.3,10.8,3.29,0.47,6,"Normal"
0.48,0.54,10.5,3.1,0.61,6,"Normal"
0.6,0.49,10.5,3.15,0.63,6,"Normal"
0.69,0.05,9.1,3.26,0.61,5,"Normal"
0.31,0.46,10.1,3.36,0.76,6,"Normal"
0.44,0.47,10.8,3.24,0.65,6,"Normal"
0.39,0.66,10.8,3.18,0.63,7,"Bo"
0.34,0.58,11.3,3.19,0.7,6,"Normal"
0.46,0.49,9.6,3.05,0.57,4,"Dolent"
0.43,0.34,9.5,3.38,0.62,6,"Normal"
0.45,0.35,9.5,3.38,0.62,5,"Normal"
0.735,0.16,9.3,3.27,0.64,5,"Normal"
0.4,0.53,11.7,3.27,0.82,7,"Bo"
0.52,0.34,9.5,3.26,0.61,5,"Normal"
0.725,0.24,9.3,3.32,1.07,5,"Normal"
0.48,0.64,11.7,3.26,0.66,6,"Normal"
0.58,0.12,10.5,3.44,0.48,5,"Normal"
0.38,0.51,10.4,3.24,0.76,6,"Normal"
0.77,0,9.9,3.62,0.68,5,"Normal"
0.56,0.33,11.8,3.28,0.73,7,"Bo"
0.84,0.03,12.3,3.52,0.56,7,"Bo"
0.96,0.2,10.9,3.36,0.44,5,"Normal"
0.24,0.47,11,3.15,0.9,7,"Bo"
0.96,0.2,10.9,3.36,0.44,5,"Normal"
0.84,0.03,12.3,3.52,0.56,7,"Bo"
0.67,0.08,11.4,3.49,0.49,6,"Normal"
0.78,0.22,10.6,3.26,0.56,6,"Normal"
0.52,0.33,9.3,3.24,0.6,5,"Normal"
0.84,0.63,10.4,3.1,0.6,6,"Normal"
0.24,0.47,11,3.15,0.9,7,"Bo"
0.55,0.35,9.2,3.25,0.56,5,"Normal"
0.37,0.69,12.8,3,0.65,6,"Normal"
0.39,0.63,9.5,3.16,0.49,5,"Normal"
0.41,0.55,9.9,3.15,0.89,6,"Normal"
0.39,0.63,9.5,3.16,0.49,5,"Normal"
0.67,0.3,10.2,3.26,0.56,6,"Normal"
0.45,0.73,11.2,3.17,0.66,6,"Normal"
0.41,0.55,9.9,3.15,0.89,6,"Normal"
0.62,0.18,9.3,3.08,0.6,5,"Normal"
0.31,0.72,9.8,2.88,0.82,8,"Bo"
0.4,0.65,11.3,3.06,0.68,6,"Normal"
0.685,0.76,11.2,2.95,0.68,7,"Bo"
0.44,0.49,11.6,3.23,0.63,7,"Bo"
0.57,0.01,12.5,3.57,0.84,7,"Bo"
0.735,0.1,10.1,3.23,0.56,6,"Normal"
0.38,0.6,10.5,3.1,0.73,5,"Normal"
0.48,0.29,11.2,3.22,0.72,5,"Normal"
0.53,0.22,10.2,3.2,0.56,6,"Normal"
0.39,0.69,10.8,3.1,0.61,6,"Normal"
0.39,0.69,10.8,3.1,0.61,6,"Normal"
0.37,0.53,9.1,3.06,1.06,6,"Normal"
0.56,0.03,10,3.44,0.63,6,"Normal"
0.33,0.63,11.2,3.26,0.74,7,"Bo"
0.23,0.4,11.1,3.5,0.63,5,"Normal"
0.62,0.67,13.4,3.22,0.69,8,"Bo"
0.59,0.39,10.3,3.37,0.58,5,"Normal"
0.63,0.21,9.6,3.28,0.58,5,"Normal"
0.33,0.63,11.2,3.26,0.74,7,"Bo"
0.58,0.66,9,3.25,0.57,3,"Dolent"
0.43,0.52,11.3,3.35,0.61,6,"Normal"
0.615,0.22,9.3,3.26,0.61,5,"Normal"
0.26,0.68,11.8,3.18,0.61,5,"Normal"
0.66,0.7,9,3.08,0.53,5,"Normal"
0.315,0.54,9.2,2.98,0.7,6,"Normal"
0.29,0.4,9.7,3.48,0.91,5,"Normal"
0.5,0.42,11.5,3.16,0.72,6,"Normal"
0.46,0.45,14,3.32,0.79,6,"Normal"
0.36,0.69,9.2,3.17,0.62,6,"Normal"
0.82,0.02,9.8,3.2,0.58,5,"Normal"
0.32,0.65,10.6,3.05,0.61,5,"Normal"
0.54,0.42,11.4,3.2,0.71,6,"Normal"
0.37,0.55,10.4,3.15,0.82,6,"Normal"
0.35,0.55,10.6,3.26,0.79,5,"Normal"
0.28,0.51,9.4,3.2,0.89,6,"Normal"
0.68,0.24,10.2,3.14,0.6,5,"Normal"
0.27,0.41,9.7,3.28,0.7,5,"Normal"
0.24,0.49,11,3.18,1.06,6,"Normal"
0.68,0.24,10.2,3.14,0.6,5,"Normal"
0.685,0.11,10.1,3.19,0.7,6,"Normal"
0.28,0.39,9.2,3.12,0.66,5,"Normal"
0.3,0.56,11.7,3.15,0.92,8,"Bo"
0.36,0.59,9.4,3.04,1.05,5,"Normal"
0.36,0.6,9.4,3.04,1.06,5,"Normal"
0.44,0.68,13.4,3.06,0.66,6,"Normal"
0.67,0.39,10,3.17,0.47,5,"Normal"
0.67,0.39,10,3.17,0.47,5,"Normal"
0.645,0.36,10,3.17,0.42,6,"Normal"
0.32,0.55,10.8,3.32,0.92,7,"Bo"
0.39,0.4,10.2,3.34,0.75,6,"Normal"
0.775,0.27,10.6,3.31,0.67,6,"Normal"
0.41,0.5,13.3,3.34,0.79,7,"Bo"
0.4,0.51,13.4,3.32,0.9,7,"Bo"
0.69,0.31,11.6,3.48,0.74,6,"Normal"
0.39,0.23,12.1,3.44,0.55,6,"Normal"
0.35,0.53,11,3.15,0.65,8,"Bo"
0.52,0.25,9,3.43,0.65,6,"Normal"
0.34,0.32,11.1,3.32,0.79,5,"Normal"
0.35,0.53,11,3.15,0.65,8,"Bo"
0.69,0.31,11.6,3.48,0.74,6,"Normal"
0.52,0.25,9,3.43,0.65,6,"Normal"
0.44,0.73,12,3.17,0.85,7,"Bo"
0.44,0.73,12,3.17,0.85,7,"Bo"
0.26,0.47,10.9,3.18,1.04,7,"Bo"
0.24,0.42,10.8,3.21,1.05,7,"Bo"
0.49,0.63,12.5,3.16,0.78,7,"Bo"
0.24,0.46,10.8,3.25,1.02,7,"Bo"
0.67,0.55,9.5,3.17,0.71,6,"Normal"
0.59,0.31,10.2,3.18,0.63,6,"Normal"
0.29,0.75,11.4,3.04,0.68,7,"Bo"
0.42,0.49,9.5,3.02,0.61,5,"Normal"
0.59,0.31,10.2,3.18,0.63,6,"Normal"
0.4,0.48,9.7,3.03,0.81,6,"Normal"
0.51,0.64,11.8,3.09,0.66,7,"Bo"
0.51,0.64,11.8,3.09,0.66,7,"Bo"
0.655,0.49,9.3,3.31,1.14,5,"Normal"
0.6,0.49,11.9,3.25,0.74,6,"Normal"
0.61,0.49,8.4,3.16,0.63,3,"Dolent"
0.21,0.49,11.7,3.22,0.68,6,"Normal"
0.365,0.49,11,3.36,0.78,5,"Normal"
0.25,0.49,10,3.42,0.9,6,"Normal"
0.41,0.49,9.1,3.48,0.64,5,"Normal"
0.39,0.49,9.8,3.38,0.99,5,"Normal"
0.4,0.49,9.4,3.22,0.55,5,"Normal"
0.43,0.49,9.5,3.23,0.64,5,"Normal"
0.64,0.24,9.9,3.24,0.67,5,"Normal"
0.365,0.49,11,3.36,0.78,5,"Normal"
0.38,0.49,11.4,3.39,0.77,6,"Normal"
0.42,0.49,8.7,3.34,0.75,6,"Normal"
0.63,0.24,9.4,3.09,0.57,5,"Normal"
0.22,0.24,10.3,3.41,0.87,6,"Normal"
0.38,0.49,10.3,3.16,0.61,5,"Normal"
0.38,0.49,10.3,3.16,0.61,5,"Normal"
0.27,0.24,12.8,3.22,0.66,6,"Normal"
0.48,0.24,10,3.28,0.56,6,"Normal"
0.22,0.24,10.3,3.41,0.87,6,"Normal"
0.63,0.24,9.4,3.09,0.57,5,"Normal"
0.825,0.24,10.7,3.37,0.77,6,"Normal"
0.35,0.49,12,3.2,0.66,7,"Bo"
0.5,0.74,11.2,3.22,0.62,5,"Normal"
0.59,0.24,9.6,3.26,0.67,5,"Normal"
0.46,0.49,11,3.21,0.73,6,"Normal"
0.715,0.24,9.9,3.12,0.59,5,"Normal"
0.66,0.24,11,3.06,0.72,6,"Normal"
0.31,0.74,8.4,2.86,0.79,6,"Normal"
0.47,0.49,9.1,3.08,0.59,5,"Normal"
0.55,0.24,9.5,3.45,0.78,6,"Normal"
0.31,0.49,10.7,3.26,0.86,6,"Normal"
0.35,0.49,10.4,3.12,0.75,6,"Normal"
0.53,0.49,9.4,3.27,0.61,6,"Normal"
0.51,0.01,9.5,3.33,0.56,6,"Normal"
0.43,0.24,10,3.19,0.73,6,"Normal"
0.46,0.24,10,3.12,0.74,6,"Normal"
1.04,0.24,11.5,3.74,0.62,5,"Normal"
0.645,0.49,11.1,2.92,0.74,5,"Normal"
0.645,0.49,11.1,2.92,0.74,5,"Normal"
0.53,0.49,11.7,3.07,0.56,6,"Normal"
0.645,0.49,11.1,2.92,0.74,5,"Normal"
0.53,0.49,11.7,3.07,0.56,6,"Normal"
0.47,0.49,12.7,3.3,0.68,6,"Normal"
0.6,0.49,11.4,3.14,0.57,5,"Normal"
0.44,0.49,9.2,3.23,0.58,5,"Normal"
0.54,0.49,9.2,3.08,0.61,5,"Normal"
0.29,0.49,10.1,3.31,0.61,6,"Normal"
0.47,0.49,12.7,3.3,0.68,6,"Normal"
0.6,0.49,11.4,3.14,0.57,5,"Normal"
0.7,0.24,9,3.32,0.6,6,"Normal"
0.7,0.24,9,3.32,0.6,6,"Normal"
0.5,0.49,10.7,3.31,0.79,6,"Normal"
0.36,0.24,11.7,3.57,0.57,6,"Normal"
0.35,0.49,11,3.32,0.91,6,"Normal"
0.36,0.24,11.7,3.57,0.57,6,"Normal"
0.24,0.49,10.4,3.14,0.61,5,"Normal"
0.59,0.49,9.6,3.3,0.56,4,"Dolent"
0.34,0.49,10,3.19,0.7,6,"Normal"
0.27,0.49,10.2,3.2,0.8,6,"Normal"
0.5,0.24,10,3.34,0.52,4,"Dolent"
0.44,0.49,9.5,3.3,0.6,5,"Normal"
0.47,0.49,9.8,3.29,0.6,5,"Normal"
0.31,0.49,9.8,3.14,0.51,6,"Normal"
0.5,0.49,9.6,3.19,0.44,5,"Normal"
0.5,0.49,9.6,3.19,0.44,5,"Normal"
0.49,0.49,9.2,3.19,0.43,5,"Normal"
0.28,0.49,9.9,2.98,0.66,7,"Bo"
0.33,0.49,10.7,3.3,0.76,7,"Bo"
0.51,0.24,9.6,3.47,0.66,6,"Normal"
0.31,0.49,10.6,3.12,1.02,7,"Bo"
0.73,0.24,9.3,3.26,0.59,5,"Normal"
0.42,0.24,14,3.72,0.74,8,"Bo"
0.29,0.49,10.5,3.05,0.74,7,"Bo"
0.45,0.49,9.7,3.35,0.57,5,"Normal"
0.39,0.49,11.5,3.12,0.5,6,"Normal"
0.45,0.49,9.7,3.35,0.57,5,"Normal"
0.49,0.58,9,3.29,0.58,5,"Normal"
0.72,0.17,9.5,3.4,0.53,5,"Normal"
0.595,0.41,9.3,3.27,0.57,5,"Normal"
0.4,0.51,9.3,3.04,0.6,6,"Normal"
0.58,0.58,10,3.09,0.63,6,"Normal"
0.585,0.18,9.8,3.2,0.48,6,"Normal"
0.59,0.45,9.3,3,0.7,6,"Normal"
0.915,0.27,10,3.26,0.47,4,"Dolent"
0.46,0.52,9,3.1,0.56,6,"Normal"
0.835,0,9.3,3.3,0.52,5,"Normal"
0.46,0.52,9,3.1,0.56,6,"Normal"
0.58,0.13,9.1,3.17,0.62,6,"Normal"
0.6,0.13,9.2,3.31,0.59,6,"Normal"
0.41,0.48,12.2,3.34,0.79,7,"Bo"
0.48,0.41,10.5,3.31,0.53,6,"Normal"
0.65,0.37,10.4,3.32,0.64,6,"Normal"
0.36,0.19,12.7,3.56,0.52,6,"Normal"
0.24,0.54,9.2,3.39,0.54,5,"Normal"
0.38,0.55,9.4,2.98,0.54,5,"Normal"
0.64,0,10,3.32,0.6,6,"Normal"
0.39,0.38,9.8,3.26,0.74,5,"Normal"
0.755,0.18,10.2,2.87,1.36,6,"Normal"
0.6,0.5,9.7,3.5,0.57,5,"Normal"
0.6,0.5,9.7,3.5,0.57,5,"Normal"
0.31,0.51,9.8,3.03,0.93,6,"Normal"
0.46,0.5,10.2,3.13,0.7,5,"Normal"
0.37,0.41,9.3,3.09,0.8,5,"Normal"
0.54,0.24,9.4,3.27,0.61,5,"Normal"
0.56,0.23,9.4,3.28,0.62,5,"Normal"
0.58,0.22,9.5,3.13,0.55,5,"Normal"
0.51,0.25,12.1,3.49,0.96,6,"Normal"
0.69,0,10.2,3.46,0.72,5,"Normal"
0.69,0,10.2,3.46,0.72,5,"Normal"
0.6,0.29,9.1,3.36,0.49,5,"Normal"
0.6,0.29,9.1,3.36,0.49,5,"Normal"
0.54,0.26,9.3,3.27,0.6,6,"Normal"
0.685,0.23,9.3,3.21,0.61,5,"Normal"
0.54,0.26,9.3,3.27,0.6,6,"Normal"
0.28,0.54,9.5,3.25,0.63,5,"Normal"
0.41,0.14,10.5,3.32,0.57,6,"Normal"
0.935,0.22,11.3,3.43,0.64,4,"Dolent"
0.35,0.21,9.5,3.27,0.58,5,"Normal"
0.84,0,9.7,3.27,0.55,5,"Normal"
0.88,0.28,9.4,3.24,0.53,5,"Normal"
0.885,0.27,9.4,3.24,0.53,5,"Normal"
0.915,0.12,10.2,3.35,0.65,7,"Bo"
0.29,0.35,10.3,3.18,1.36,6,"Normal"
0.54,0.45,9.4,3.39,0.62,5,"Normal"
0.59,0.44,9.5,3.46,0.63,5,"Normal"
0.54,0.45,9.4,3.39,0.62,5,"Normal"
0.59,0.44,9.5,3.46,0.63,5,"Normal"
0.54,0.45,9.4,3.39,0.62,5,"Normal"
0.64,0.1,10.1,3.37,0.69,7,"Bo"
0.67,0.05,10.1,3.4,0.63,5,"Normal"
0.845,0.01,11,3.32,0.58,4,"Dolent"
0.48,0.3,11.2,3.33,0.67,7,"Bo"
0.42,0.27,11.3,3.16,0.57,6,"Normal"
0.43,0.39,9.6,2.89,0.5,5,"Normal"
0.88,0.25,11.2,3.41,0.67,5,"Normal"
0.36,0.65,14.9,2.98,0.84,5,"Normal"
0.33,0.59,12,3.12,0.54,6,"Normal"
0.47,0.47,9.5,3.08,0.46,5,"Normal"
0.55,0.17,9.4,3.14,0.61,5,"Normal"
0.43,0.39,9.6,2.89,0.5,5,"Normal"
0.5,0.59,10.5,2.92,0.68,7,"Bo"
0.52,0.07,9.6,3.32,0.81,6,"Normal"
0.84,0.02,11,3.41,0.57,4,"Dolent"
0.52,0.07,9.6,3.32,0.81,6,"Normal"
0.42,0.31,9,3.31,0.64,5,"Normal"
0.57,0.06,9.6,3.36,0.7,6,"Normal"
0.28,0.46,10.2,3.04,0.79,6,"Normal"
0.4,0.52,10.2,3.03,0.66,5,"Normal"
0.59,0.14,9.7,3.14,0.56,5,"Normal"
0.49,0.36,9.5,3.18,0.6,6,"Normal"
0.34,0.45,9.2,2.94,0.66,6,"Normal"
0.73,0.43,11,3.15,0.57,5,"Normal"
0.34,0.45,9.2,2.94,0.66,6,"Normal"
0.4,0.24,10,3.26,0.58,5,"Normal"
0.73,0.21,9.5,3.2,0.52,5,"Normal"
1.24,0.34,9.5,3.15,0.53,5,"Normal"
0.73,0.21,9.5,3.2,0.52,5,"Normal"
0.4,0.41,9.3,3.08,0.67,6,"Normal"
0.41,0.39,10.2,3.26,0.65,5,"Normal"
0.4,0.41,9.3,3.08,0.67,6,"Normal"
0.8,0.11,9.9,3.4,0.48,5,"Normal"
0.78,0.1,10,3.48,0.53,5,"Normal"
0.26,0.45,9.6,3.13,0.54,5,"Normal"
0.43,0.58,9,3.06,0.49,5,"Normal"
0.45,0.23,10.2,3.21,0.49,6,"Normal"
0.46,0.31,9.8,3.33,0.54,5,"Normal"
0.78,0.23,11.3,3.37,0.56,5,"Normal"
0.98,0.32,9.4,3.25,0.48,5,"Normal"
0.78,0.23,11.3,3.37,0.56,5,"Normal"
0.65,0.18,9.1,3.44,0.6,5,"Normal"
0.64,0.23,9.7,3.28,0.59,5,"Normal"
0.66,0.04,9.4,3.4,0.47,5,"Normal"
0.38,0.48,9.4,3.3,1.05,5,"Normal"
1.185,0,10.7,3.63,0.54,3,"Dolent"
0.92,0.24,9.8,3.48,0.54,5,"Normal"
0.49,0.51,9,3.03,1.17,5,"Normal"
0.48,0.32,9.4,3.32,0.62,5,"Normal"
0.47,0.31,9.4,3.31,0.61,5,"Normal"
0.47,0.02,12.8,3.9,0.62,6,"Normal"
0.65,0.02,9.5,3.47,0.67,6,"Normal"
0.65,0.02,9.5,3.47,0.67,6,"Normal"
0.615,0.28,9.7,3.31,0.53,5,"Normal"
0.38,0.55,10.8,3.11,0.62,6,"Normal"
1.02,0.43,10.1,3.08,0.57,6,"Normal"
0.65,0.02,9.5,3.47,0.67,6,"Normal"
0.64,0.02,9.4,3.47,0.67,6,"Normal"
0.38,0.48,9.6,3.32,0.7,4,"Dolent"
0.765,0.04,9.7,3.29,0.54,4,"Dolent"
1.035,0.15,9.9,3.37,0.49,5,"Normal"
0.78,0.08,10,3.4,0.47,5,"Normal"
0.49,0.19,10.5,3.37,0.51,5,"Normal"
0.545,0.12,11.6,3.34,0.61,6,"Normal"
0.31,0.47,10,3.27,0.66,6,"Normal"
1.025,0.43,10.1,3.06,0.57,5,"Normal"
0.565,0.34,9.5,3.38,0.61,5,"Normal"
0.69,0,9.4,3.36,0.45,5,"Normal"
0.43,0.36,9.4,3.34,0.46,5,"Normal"
0.74,0.28,9.8,3.28,0.51,5,"Normal"
0.49,0.18,9.2,3.29,0.48,6,"Normal"
0.43,0.36,9.4,3.34,0.46,5,"Normal"
0.46,0.11,10,3.21,0.57,5,"Normal"
0.56,0.04,9.6,3.22,0.44,5,"Normal"
0.66,0,9.5,3.46,0.54,5,"Normal"
0.56,0.04,9.6,3.22,0.44,5,"Normal"
0.48,0.24,9.2,3.1,0.53,5,"Normal"
0.42,0.08,10,3.21,0.59,5,"Normal"
0.31,0.3,9.5,2.94,1.62,5,"Normal"
1.115,0.1,11.2,3.54,0.6,4,"Dolent"
0.66,0.17,10.4,3.29,0.55,5,"Normal"
0.72,0.09,11.1,3.43,0.72,6,"Normal"
0.57,0.02,9.5,3.46,0.68,5,"Normal"
0.57,0.02,9.5,3.46,0.68,5,"Normal"
0.865,0.03,12.7,3.61,0.49,6,"Normal"
0.55,0.66,9.6,3.17,0.67,5,"Normal"
0.875,0.13,11.5,3.44,0.52,5,"Normal"
0.835,0.03,9.6,3.39,0.47,5,"Normal"
0.45,0.34,9.5,3.55,0.6,5,"Normal"
0.56,0.2,9.3,3.48,0.62,5,"Normal"
0.965,0.1,9.5,3.26,0.5,5,"Normal"
0.965,0.1,9.5,3.26,0.5,5,"Normal"
0.59,0,9.3,3.5,0.65,6,"Normal"
0.46,0.23,9.2,3.1,0.56,5,"Normal"
0.69,0,9.3,3.35,0.6,5,"Normal"
0.76,0.29,11.5,3.45,0.68,6,"Normal"
0.53,0.24,9.5,3.21,0.57,5,"Normal"
0.615,0,9.2,3.46,0.65,5,"Normal"
0.41,0.58,10,3.13,0.53,5,"Normal"
0.39,0.54,9.5,3.13,0.51,5,"Normal"
0.51,0.18,9.5,3.52,0.73,6,"Normal"
0.34,0.38,9,3.3,0.47,6,"Normal"
0.33,0.4,9.4,3.3,0.48,5,"Normal"
0.5,0.18,9.6,3.52,0.72,6,"Normal"
0.51,0.18,9.5,3.52,0.73,6,"Normal"
0.65,0.1,9.5,3.29,0.55,5,"Normal"
0.65,0.1,9.5,3.29,0.55,5,"Normal"
0.54,0.13,9.4,3.39,0.61,5,"Normal"
0.65,0.1,9.5,3.29,0.55,5,"Normal"
0.48,0.68,9.1,3.09,1.06,6,"Normal"
0.91,0.07,10.7,3.51,0.43,6,"Normal"
0.98,0.01,11.2,3.6,0.46,6,"Normal"
0.87,0,9.8,3.25,0.5,5,"Normal"
0.87,0,9.8,3.25,0.5,5,"Normal"
0.42,0.21,9.2,3.19,0.52,5,"Normal"
0.58,0.25,9.7,3.23,0.57,5,"Normal"
0.655,0.26,9.6,3.25,0.42,5,"Normal"
0.7,0,10,3.31,0.53,6,"Normal"
0.655,0.26,9.6,3.25,0.42,5,"Normal"
0.68,0.11,9.5,3.31,0.55,6,"Normal"
0.67,0.1,9.5,3.31,0.54,6,"Normal"
0.59,0.18,9.4,3.14,0.54,5,"Normal"
0.6,0.32,9.5,3.45,0.62,5,"Normal"
0.59,0.02,9.7,3.55,0.53,6,"Normal"
0.72,0.01,9.6,3.39,0.54,5,"Normal"
0.59,0.02,9.7,3.55,0.53,6,"Normal"
0.685,0.26,9.4,3.28,0.55,5,"Normal"
0.57,0.27,9.4,3.27,0.55,5,"Normal"
0.4,0.29,9.5,3.3,0.92,6,"Normal"
0.4,0.3,9.5,3.31,0.91,6,"Normal"
1,0,10,3.43,0.46,5,"Normal"
0.765,0.18,10.3,3.4,0.6,6,"Normal"
0.635,0.17,10.3,3.4,0.59,6,"Normal"
0.43,0.3,10.5,3.36,0.61,5,"Normal"
0.52,0.03,9.8,3.5,0.6,5,"Normal"
0.57,0,9.4,3.31,0.6,6,"Normal"
0.46,0.14,9.8,3.66,0.65,5,"Normal"
0.82,0.05,10,3.36,0.53,5,"Normal"
0.46,0.14,9.8,3.66,0.65,5,"Normal"
0.59,0.01,9.8,3.55,0.59,5,"Normal"
0.35,0.41,9.5,3.21,0.5,5,"Normal"
0.35,0.41,9.5,3.21,0.5,5,"Normal"
0.56,0.24,10.1,3.18,0.56,6,"Normal"
0.56,0.24,10.1,3.18,0.56,6,"Normal"
0.63,0.17,9.3,3.09,0.52,5,"Normal"
0.37,0.43,9.7,3.33,0.68,6,"Normal"
0.64,0.17,9.6,3.23,0.54,5,"Normal"
0.61,0.02,9.7,3.48,0.6,6,"Normal"
0.6,0,10.8,3.38,0.56,5,"Normal"
0.27,0.54,12.5,3.17,0.53,6,"Normal"
0.89,0.3,10.2,2.99,1.18,5,"Normal"
0.46,0.31,9.6,3.1,0.74,5,"Normal"
